neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
Desconocido,AIORA,CAMINS AL GRAU,Entire serviced apartment,Entire home/apt,1 bath,"[""Cleaning products"", ""Exterior security cameras on property"", ""High chair - available upon request"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Single level home"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Paid parking garage off premises"", ""Toaster"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Private entrance"", ""Crib"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Self check-in"", ""Clothing storage: closet"", ""Smart lock"", ""Conditioner"", ""Dining table"", ""Extra pillows and blankets"", ""Blender"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Siemens oven"", ""Private sauna"", ""Microwave"", ""Other induction stove"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,04/08/2024,08/06/2025,VT-55917-V,f,t,t,within an hour,20/03/2019,1.20867e+18,250138394,39.46258844,-0.338950753,6.0,1.0,1.0,3.0,158.0,2.0,30.0,1.0,4.0,1125,1125,2.0,1125.0,15,28,58,169,33.0,33.0,3.0,3.08,4.94,4.97,4.91,4.91,4.97,4.73,4.85,4.0,4.0,0.0,0.0
Desconocido,EL SALER,POBLATS DEL SUD,Entire rental unit,Entire home/apt,1 bath,"[""Wifi"", ""Smart lock"", ""Dedicated workspace"", ""Iron"", ""Self check-in"", ""Air conditioning"", ""Free parking on premises"", ""Cooking basics"", ""Heating"", ""Beach access \u2013 Beachfront"", ""Hair dryer""]",t,20/06/2025,Sin reseña,Sin reseña,VT-55676-V,t,f,f,within an hour,22/07/2024,1.20878e+18,591365892,39.5,-0.33161,4.0,1.0,1.0,2.0,157.0,2.0,242.2,2.0,2.0,365,365,2.0,365.0,11,26,37,298,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,5.0,5.0,0.0,0.0
Desconocido,EL SALER,POBLATS DEL SUD,Entire rental unit,Entire home/apt,1 bath,"[""Wifi"", ""Smart lock"", ""Dedicated workspace"", ""Iron"", ""Self check-in"", ""Air conditioning"", ""Free parking on premises"", ""Cooking basics"", ""Heating"", ""Beach access \u2013 Beachfront"", ""Hair dryer""]",t,20/06/2025,Sin reseña,Sin reseña,VT-55677-V,t,f,f,within an hour,22/07/2024,1.20878e+18,591365892,39.5,-0.33148,3.0,1.0,1.0,2.0,152.0,2.0,242.2,2.0,2.0,365,365,2.0,365.0,19,29,50,308,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,5.0,5.0,0.0,0.0
Desconocido,EL SALER,POBLATS DEL SUD,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Dishes and silverware"", ""Dedicated workspace"", ""Refrigerator"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Self check-in"", ""Cooking basics"", ""Smart lock"", ""Dining table"", ""Fast wifi \u2013 50 Mbps"", ""Coffee maker"", ""Elevator"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Toaster""]",t,20/06/2025,30/03/2025,30/03/2025,VT-55678-V,t,f,f,within an hour,22/07/2024,1.20878e+18,591365892,39.5,-0.33135,4.0,1.0,1.0,2.0,167.0,2.0,242.2,2.0,2.0,365,365,2.0,365.0,20,35,53,317,1.0,1.0,0.0,0.36,4.0,4.0,4.7,4.0,5.0,5.0,4.6,5.0,5.0,0.0,0.0
Desconocido,LA PETXINA,EXTRAMURS,Private room in rental unit,Private room,2 shared baths,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Exercise equipment"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Dryer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Housekeeping available every day"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Conditioner"", ""Dining table"", ""Extra pillows and blankets"", ""Elevator"", ""Blender"", ""Other stove"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Lock on bedroom door"", ""Microwave"", ""First aid kit"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,17/08/2024,07/06/2025,Sin licencia,f,f,t,within a few hours,24/02/2024,1.2093e+18,563792392,39.47136,-0.3871,1.0,1.0,1.0,1.0,27.0,2.0,365.0,2.0,2.0,365,365,2.0,365.0,0,0,0,239,22.0,22.0,4.0,2.14,4.68,4.73,4.41,4.86,4.86,4.77,4.59,2.0,0.0,2.0,0.0
Desconocido,CABANYAL-CANYAMELAR,POBLATS MARITIMS,Private room in serviced apartment,Private room,1 bath,"[""Bathtub"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Single level home"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Washer \u2013\u00a0In unit"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Laundromat nearby"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Books and reading material"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Wifi"", ""Microwave"", ""Other electric stove"", ""Waterfront"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,18/03/2025,24/05/2025,Sin licencia,f,f,t,within an hour,25/12/2020,1.20931e+18,381603791,39.47341387,-0.326817624,1.0,1.0,1.0,1.0,56.0,1.0,365.0,1.0,1.0,365,365,1.0,365.0,28,47,76,257,2.0,2.0,1.0,0.63,4.0,5.0,4.5,5.0,4.5,4.5,4.5,2.0,0.0,2.0,0.0
Desconocido,LA PETXINA,EXTRAMURS,Private room in rental unit,Private room,2 shared baths,"[""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Washer"", ""Dryer"", ""Hangers"", ""Shampoo"", ""Lockbox"", ""Laundromat nearby"", ""Self check-in"", ""Body soap"", ""Freezer"", ""Baking sheet"", ""Cleaning available during stay"", ""Dining table"", ""Extra pillows and blankets"", ""Elevator"", ""Other stove"", ""Wifi"", ""Lock on bedroom door""]",t,20/06/2025,17/08/2024,25/05/2025,Sin licencia,f,f,t,within a few hours,24/02/2024,1.20934e+18,563792392,39.47089753,-0.389079921,1.0,1.0,1.0,1.0,37.0,2.0,365.0,2.0,2.0,365,365,2.0,365.0,3,33,60,297,22.0,22.0,1.0,2.14,4.91,4.86,4.82,4.86,4.91,4.86,4.91,2.0,0.0,2.0,0.0
Desconocido,EL GRAU,POBLATS MARITIMS,Entire rental unit,Entire home/apt,1 bath,"[""Stove"", ""Kitchen"", ""TV"", ""Wifi"", ""Essentials"", ""Self check-in"", ""Lockbox"", ""High chair"", ""Hot water"", ""Refrigerator"", ""Crib"", ""Air conditioning"", ""Washer"", ""Bed linens"", ""Heating""]",t,20/06/2025,03/08/2024,10/11/2024,Sin licencia,t,f,t,within an hour,08/02/2014,1.20944e+18,12044109,39.4624128,-0.336803677,6.0,1.0,3.0,3.0,101.4,1.0,242.2,1.0,4.0,1125,1125,3.3,1125.0,0,0,0,148,4.0,4.0,0.0,0.37,4.5,4.75,4.5,4.75,4.5,4.25,4.5,4.7,2.9,0.0,0.0
Desconocido,PATRAIX,PATRAIX,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Outdoor shower"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Other induction stove"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,10/02/2025,10/02/2025,VT-55982-V,t,t,t,within an hour,11/07/2021,1.2095e+18,412325994,39.46516725,-0.388976947,4.0,1.0,1.0,1.0,90.0,4.0,365.0,1.0,4.0,365,365,2.2,365.0,23,46,72,172,1.0,1.0,0.0,0.23,4.0,4.0,4.0,4.0,4.0,4.7,4.6,7.0,7.0,0.0,0.0
Desconocido,EL GRAU,POBLATS MARITIMS,Entire loft,Entire home/apt,1 bath,"[""Exterior security cameras on property"", ""Kitchen"", ""Dedicated workspace"", ""Shared beach access"", ""Washer"", ""Heating"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Cooking basics"", ""Pets allowed"", ""Books and reading material"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""TV"", ""Wifi"", ""First aid kit""]",t,20/06/2025,29/07/2024,28/04/2025,VT-53759-V,f,t,t,within an hour,16/08/2017,1.20961e+18,146367933,39.46192778,-0.334037898,2.0,1.0,1.0,1.0,101.4,2.0,10.0,2.0,2.0,1125,1125,2.0,1125.0,0,1,31,300,40.0,40.0,0.0,3.67,4.9,4.9,4.93,4.95,4.9,4.83,4.83,3.0,3.0,0.0,0.0
Desconocido,LA RAIOSA,JESUS,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Smoke alarm"", ""Dedicated workspace"", ""Hot water"", ""First aid kit"", ""Heating - split type ductless system"", ""Washer"", ""Air conditioning"", ""Pets allowed"", ""Fire extinguisher"", ""Carbon monoxide alarm""]",f,20/06/2025,08/08/2024,17/08/2024,Sin licencia,f,f,t,No especificado,27/07/2024,1.20984e+18,592427315,39.4573464,-0.3885391,3.0,1.0,1.0,2.0,104.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,0,0,0,0,2.0,2.0,0.0,0.19,4.0,4.8,3.5,4.5,4.5,4.7,4.0,2.0,2.0,0.0,0.0
Desconocido,LA RAIOSA,JESUS,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Dedicated workspace"", ""First aid kit"", ""Air conditioning"", ""Washer"", ""Smoke alarm"", ""Pets allowed"", ""Fire extinguisher"", ""Carbon monoxide alarm""]",f,20/06/2025,17/08/2024,20/03/2025,VT-55470-V,f,f,t,No especificado,27/07/2024,1.20986e+18,592427315,39.45639,-0.38909,3.0,1.0,1.0,2.0,104.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,0,0,0,0,3.0,3.0,0.0,0.29,5.0,4.67,5.0,5.0,4.0,4.67,4.67,2.0,2.0,0.0,0.0
Desconocido,NOU MOLES,L'OLIVERETA,Entire rental unit,Entire home/apt,2 baths,"[""Bathtub"", ""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Single level home"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Board games"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Coffee maker: espresso machine"", ""Clothing storage: closet"", ""Books and reading material"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""TV"", ""Wifi"", ""Microwave"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,03/11/2024,01/12/2024,Sin licencia,f,f,t,No especificado,04/01/2017,1.20996e+18,109799486,39.47392836,-0.39703045,4.0,1.0,2.0,2.0,104.0,4.0,14.0,4.0,4.0,14,14,4.0,14.0,0,0,0,0,2.0,2.0,0.0,0.26,4.5,4.5,4.5,5.0,5.0,4.5,4.0,1.0,1.0,0.0,0.0
Desconocido,LA MALVA-ROSA,POBLATS MARITIMS,Entire rental unit,Entire home/apt,2 baths,"[""Kitchen"", ""TV"", ""Wifi"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Radiant heating"", ""Air conditioning"", ""Washer"", ""Beach access \u2013 Beachfront""]",t,20/06/2025,04/08/2024,01/06/2025,Sin licencia,f,t,t,within an hour,27/07/2024,1.21011e+18,592494024,39.4804626,-0.3281548,4.0,1.0,2.0,2.0,100.0,2.0,365.0,2.0,2.0,365,365,2.0,365.0,15,27,48,226,27.0,27.0,4.0,2.52,4.81,4.93,4.93,4.93,4.96,4.67,4.74,1.0,1.0,0.0,0.0
Desconocido,PENYA-ROJA,CAMINS AL GRAU,Private room in rental unit,Private room,1 private bath,"[""Kitchen"", ""TV"", ""Wifi"", ""Outdoor dining area"", ""Outdoor shower"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Free parking on premises"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Pets allowed"", ""Hair dryer""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,within an hour,04/05/2024,1.21023e+18,575715510,39.4573,-0.34436,2.0,1.0,1.0,2.0,92.0,1.0,365.0,1.0,1.0,365,365,1.0,365.0,30,60,90,365,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,1.0,0.0,1.0,0.0
Desconocido,EL MERCAT,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Lockbox"", ""Self check-in"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Air conditioning"", ""TV"", ""City skyline view"", ""Microwave"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,17/08/2024,09/05/2025,Sin licencia,t,f,t,within an hour,11/05/2019,1.21069e+18,261149179,39.47193951,-0.37786231,2.0,1.0,1.0,1.0,133.0,1.0,242.2,1.9,10.0,1125,1125,10.0,1125.0,1,15,44,168,14.0,14.0,0.0,1.36,4.43,4.57,4.29,4.5,4.79,4.93,4.21,7.0,7.0,0.0,0.0
Desconocido,EL CARME,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Dedicated workspace"", ""Exercise equipment"", ""Hot water"", ""Washer \u2013\u00a0In unit"", ""Refrigerator"", ""Bed linens"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Fire extinguisher"", ""Rice maker"", ""Private gym in building"", ""Toaster"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Coffee maker: pour-over coffee"", ""Conditioner"", ""Dining table"", ""Extra pillows and blankets"", ""Central heating"", ""Blender"", ""Elevator"", ""Paid parking on premises"", ""Iron"", ""Radiant heating"", ""Air conditioning"", ""Bosch stainless steel oven"", ""TV"", ""Wifi"", ""Microwave"", ""Host greets you"", ""Other induction stove"", ""Drying rack for clothing""]",t,20/06/2025,29/09/2024,29/09/2024,Sin licencia,f,f,t,within a day,10/07/2011,1.21077e+18,800017,39.48004493,-0.379944742,6.0,1.0,1.0,1.0,150.0,2.0,7.0,2.0,2.0,7,7,2.0,7.0,0,0,11,12,1.0,1.0,0.0,0.11,5.0,5.0,4.7,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
Desconocido,TRES FORQUES,L'OLIVERETA,Entire home,Entire home/apt,1.5 baths,"[""Kitchen"", ""Bidet"", ""Wine glasses"", ""Outdoor dining area"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hangers"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Private entrance"", ""Coffee maker: Nespresso, pour-over coffee"", ""Body soap"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Dining table"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Air conditioning"", ""Private backyard"", ""Free street parking"", ""TV"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,04/08/2024,04/08/2024,ESFCNT000046051000070588000000000000000000000000000000000003,f,f,t,within a few hours,03/11/2019,1.21083e+18,306489160,39.46583376,-0.399468387,5.0,1.0,1.4,4.0,160.0,10.0,365.0,1.9,10.0,365,365,10.0,365.0,15,29,47,261,1.0,1.0,0.0,0.09,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0
Desconocido,AIORA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Wine glasses"", ""Single level home"", ""Outdoor shower"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Shampoo"", ""Room-darkening shades"", ""Freezer"", ""Dining table"", ""Coffee maker"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Clothing storage"", ""Microwave"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,09/08/2024,03/03/2025,VT55795V,t,f,t,within an hour,29/03/2017,1.21088e+18,123160301,39.4665633,-0.3482322,4.0,1.0,1.0,2.0,150.0,4.0,365.0,1.0,4.0,365,365,1.8,365.0,2,8,18,18,3.0,3.0,0.0,0.28,3.67,4.67,4.67,5.0,4.67,5.0,4.33,4.7,2.9,0.0,0.0
Desconocido,AIORA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Wine glasses"", ""Single level home"", ""Outdoor shower"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Shampoo"", ""Room-darkening shades"", ""Freezer"", ""Dining table"", ""Coffee maker"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Clothing storage"", ""Microwave"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,12/09/2024,27/04/2025,Sin licencia,t,f,t,within an hour,29/03/2017,1.21089e+18,123160301,39.4666506,-0.348207,4.0,1.0,1.0,1.0,150.0,4.0,365.0,1.0,4.0,365,365,1.8,365.0,11,20,26,26,4.0,4.0,0.0,0.43,4.5,4.75,4.25,5.0,4.5,4.5,4.5,4.7,2.9,0.0,0.0
Desconocido,PATRAIX,PATRAIX,Entire rental unit,Entire home/apt,1.5 baths,"[""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Stove"", ""Cooking basics"", ""43 inch HDTV"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Wifi"", ""Mosquito net"", ""Clothing storage"", ""Children\u2019s dinnerware"", ""Single oven"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,27/04/2025,27/04/2025,Sin licencia,f,f,t,within a few hours,15/08/2018,1.21107e+18,209781771,39.46506219,-0.391595242,3.3,1.0,1.4,2.1,157.0,3.2,120.0,1.9,13.0,120,120,13.0,120.0,0,19,49,229,1.0,1.0,0.0,0.55,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
Desconocido,BENIMACLET,BENIMACLET,Private room in rental unit,Private room,1 shared bath,"[""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Coffee maker: french press"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Dishes and silverware"", ""Gas stove"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Coffee"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Books and reading material"", ""Dining table"", ""Private patio or balcony"", ""Blender"", ""Iron"", ""TV"", ""Wifi"", ""Smoking allowed"", ""First aid kit"", ""Host greets you"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,09/09/2024,17/06/2025,Sin licencia,f,f,t,within a few hours,28/07/2024,1.21168e+18,592735657,39.4852926,-0.3623132,1.0,1.0,1.0,1.0,30.0,2.0,15.0,2.0,2.0,15,15,2.0,15.0,6,26,35,290,10.0,10.0,2.0,1.05,5.0,5.0,4.9,5.0,4.8,4.7,5.0,2.0,0.0,2.0,0.0
Desconocido,EL CARME,CIUTAT VELLA,Private room in rental unit,Private room,1 shared bath,"[""Ceiling fan"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Stove"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Wifi"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""Noise decibel monitors on property"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,within an hour,07/10/2016,1.21169e+18,98666411,39.47696,-0.38325,1.0,1.0,1.0,1.0,27.0,3.2,350.0,1.9,4.7,350,350,4.0,350.0,19,49,62,201,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,18.0,0.0,0.3,0.0
Desconocido,BENIMACLET,BENIMACLET,Private room in condo,Private room,1 bath,"[""Kitchen"", ""Luggage dropoff allowed"", ""Coffee maker: french press"", ""Outdoor dining area"", ""Dishes and silverware"", ""Gas stove"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Coffee"", ""Clothing storage: dresser"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Hot water kettle"", ""Private patio or balcony"", ""Blender"", ""Iron"", ""TV"", ""Wifi"", ""Smoking allowed"", ""First aid kit"", ""Host greets you"", ""Toaster"", ""Portable fans""]",t,20/06/2025,30/08/2024,13/06/2025,Sin licencia,f,f,t,within a few hours,28/07/2024,1.21171e+18,592735657,39.4852926,-0.3623132,1.0,1.0,1.0,1.0,25.0,2.0,30.0,2.0,2.0,30,30,2.0,30.0,6,14,14,263,34.0,34.0,1.0,3.46,4.82,4.94,4.94,4.97,4.91,4.94,4.76,2.0,0.0,2.0,0.0
Desconocido,EL PILAR,CIUTAT VELLA,Private room in rental unit,Private room,1 shared bath,"[""Ceiling fan"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Stove"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Wifi"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""Noise decibel monitors on property"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,within an hour,07/10/2016,1.21173e+18,98666411,39.4753203,-0.382178448,1.0,1.0,1.0,1.0,26.0,3.2,330.0,1.9,4.7,330,330,4.0,330.0,19,49,79,354,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,18.0,0.0,0.3,0.0
Desconocido,EL CARME,CIUTAT VELLA,Private room in rental unit,Private room,1 shared bath,"[""Ceiling fan"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Stove"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Wifi"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""Noise decibel monitors on property"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,within an hour,07/10/2016,1.21174e+18,98666411,39.47661961,-0.382014338,1.0,1.0,1.0,1.0,26.0,3.2,365.0,1.9,4.7,365,365,4.0,365.0,19,49,79,354,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,18.0,0.0,0.3,0.0
Desconocido,EL PILAR,CIUTAT VELLA,Private room in rental unit,Private room,1 shared bath,"[""Ceiling fan"", ""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Stove"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Wifi"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""Noise decibel monitors on property"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,Sin reseña,Sin reseña,Sin licencia,f,f,t,within an hour,07/10/2016,1.21175e+18,98666411,39.47545,-0.38206,1.0,1.0,1.0,1.0,29.0,3.2,365.0,1.9,4.7,365,365,4.0,365.0,19,49,62,201,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,18.0,0.0,0.3,0.0
